car_code,sub_code,make,model,spec,current_price,depreciation,down_payment,installment,coe,road_tax,omv,arf,fuel_economy,fuel_type,coe_incl
12005,7373,Mercedes-Benz,Mercedes-Benz GLC-Class Coupe,GLC300 4MATIC (A),380888,34200,152355,3288,105459,1202,58447,77205,6.3010,Petrol,True
12005,7843,Mercedes-Benz,Mercedes-Benz GLC-Class Coupe,GLC43 AMG 4MATIC (A),467888,-,187155,4039,105459,2380,-,-,4.9010,Petrol,True
12005,7845,Mercedes-Benz,Mercedes-Benz GLC-Class Coupe,GLC63 S AMG 4MATIC+ (A),621888,-,248755,5369,105459,3920,-,-,3.8010,Petrol,True
12007,7435,Perodua,Perodua Bezza,1.3 Premium X (A),111999,-,33600,1128,86000,584,11040,0,,Petrol,True
12016,8461,Volkswagen,Volkswagen Tiguan,2.0 TSI DSG Elegance (A),213400,19600,85360,1842,105459,1194,30359,34503,7.4010,Petrol,True
12016,8462,Volkswagen,Volkswagen Tiguan,2.0 TSI DSG R-Line (A),233400,21400,93360,2015,105459,1194,34131,39783,7.4010,Petrol,True
12030,8792,Maserati,Maserati Levante,2.0 L4 GT  (A),368800,-,-,-,105459,1206,-,-,60100,Petrol,False
12032,8181,Audi,Audi Q2,1.5 TFSI S tronic (A),234561,22100,93824,2025,105459,684,24947,26926,8.6010,Petrol,True
12052,5644,Mazda,Mazda MX-5 RF,2.0 (A),POA,-,-,-,105459,1210,34400,40160,8.6010,Petrol,True
12070,8083,Volkswagen,Volkswagen Transporter Diesel,T30 Panel Van LED [Euro VI] (A),POA,-,-,-,77109,-,-,-,,Diesel (Euro VI),True
12070,8082,Volkswagen,Volkswagen Transporter Diesel,T30 Panel Van [Euro VI] (A),141400,-,14140,1831,77109,-,-,-,,Diesel (Euro VI),True
12073,7900,Honda,Honda CR-V,1.5 Turbo 5-Seater (A),111999,-,-,-,105459,684,31067,35494,,Petrol,False
12073,7899,Honda,Honda CR-V,1.5 Turbo 7-Seater (A),127999,-,-,-,105459,684,34723,40612,,Petrol,False
12074,5899,Lexus,Lexus LC 500,5.0 V8 (A),548800,-,-,-,105459,5464,-,-,4.7010,Petrol,False
12076,7908,MINI,MINI Cooper Countryman,1.5 (A),234888,21300,93955,2028,105459,684,36659,43323,9.7010,Petrol,True
